image, euclidian_dist, bhattacharyya_istance
82.jpg, archivePPMPGM/archive500ppm/82.ppm, archivePPMPGM/archive500ppm/82.ppm
104.jpg, , 
53.jpg, archivePPMPGM/archive500ppm/53.ppm, archivePPMPGM/archive500ppm/53.ppm
41.jpg, archivePPMPGM/archive500ppm/41.ppm, archivePPMPGM/archive500ppm/41.ppm
310.jpg, , 
17.jpg, archivePPMPGM/archive500ppm/17.ppm, archivePPMPGM/archive500ppm/17.ppm
248.jpg, , 
321.jpg, , 
213.jpg, , 
350.jpg, , 
437.jpg, , 
289.jpg, , 
477.jpg, , 
396.jpg, , 
254.jpg, , 
471.jpg, , 
138.jpg, , 
347.jpg, , 
326.jpg, , 
475.jpg, , 
476.jpg, , 
77.jpg, archivePPMPGM/archive500ppm/77.ppm, archivePPMPGM/archive500ppm/77.ppm
235.jpg, , 
394.jpg, , 
203.jpg, , 
64.jpg, archivePPMPGM/archive500ppm/64.ppm, archivePPMPGM/archive500ppm/64.ppm
33.jpg, archivePPMPGM/archive500ppm/33.ppm, archivePPMPGM/archive500ppm/33.ppm
225.jpg, , 
415.jpg, , 
269.jpg, , 
443.jpg, , 
56.jpg, archivePPMPGM/archive500ppm/56.ppm, archivePPMPGM/archive500ppm/56.ppm
423.jpg, , 
35.jpg, archivePPMPGM/archive500ppm/35.ppm, archivePPMPGM/archive500ppm/35.ppm
37.jpg, archivePPMPGM/archive500ppm/37.ppm, archivePPMPGM/archive500ppm/37.ppm
188.jpg, , 
63.jpg, archivePPMPGM/archive500ppm/63.ppm, archivePPMPGM/archive500ppm/63.ppm
71.jpg, archivePPMPGM/archive500ppm/71.ppm, archivePPMPGM/archive500ppm/71.ppm
349.jpg, , 
120.jpg, , 
98.jpg, archivePPMPGM/archive500ppm/98.ppm, archivePPMPGM/archive500ppm/98.ppm
88.jpg, archivePPMPGM/archive500ppm/88.ppm, archivePPMPGM/archive500ppm/88.ppm
201.jpg, , 
61.jpg, archivePPMPGM/archive500ppm/61.ppm, archivePPMPGM/archive500ppm/61.ppm
299.jpg, , 
458.jpg, , 
399.jpg, , 
112.jpg, , 
427.jpg, , 
126.jpg, , 
75.jpg, archivePPMPGM/archive500ppm/75.ppm, archivePPMPGM/archive500ppm/75.ppm
259.jpg, , 
166.jpg, , 
102.jpg, , 
332.jpg, , 
344.jpg, , 
215.jpg, , 
388.jpg, , 
298.jpg, , 
439.jpg, , 
122.jpg, , 
160.jpg, , 
402.jpg, , 
392.jpg, , 
488.jpg, , 
133.jpg, , 
40.jpg, archivePPMPGM/archive500ppm/40.ppm, archivePPMPGM/archive500ppm/40.ppm
184.jpg, , 
465.jpg, , 
65.jpg, archivePPMPGM/archive500ppm/65.ppm, archivePPMPGM/archive500ppm/65.ppm
162.jpg, , 
313.jpg, , 
28.jpg, archivePPMPGM/archive500ppm/28.ppm, archivePPMPGM/archive500ppm/28.ppm
447.jpg, , 
308.jpg, , 
426.jpg, , 
495.jpg, , 
428.jpg, , 
338.jpg, , 
191.jpg, , 
500.jpg, , 
420.jpg, , 
234.jpg, , 
317.jpg, , 
245.jpg, , 
54.jpg, archivePPMPGM/archive500ppm/54.ppm, archivePPMPGM/archive500ppm/54.ppm
194.jpg, , 
412.jpg, , 
490.jpg, , 
307.jpg, , 
196.jpg, , 
403.jpg, , 
345.jpg, , 
80.jpg, archivePPMPGM/archive500ppm/80.ppm, archivePPMPGM/archive500ppm/80.ppm
152.jpg, , 
484.jpg, , 
119.jpg, , 
32.jpg, archivePPMPGM/archive500ppm/32.ppm, archivePPMPGM/archive500ppm/32.ppm
305.jpg, , 
146.jpg, , 
304.jpg, , 
125.jpg, , 
39.jpg, archivePPMPGM/archive500ppm/39.ppm, archivePPMPGM/archive500ppm/39.ppm
278.jpg, , 
386.jpg, , 
227.jpg, , 
176.jpg, , 
470.jpg, , 
249.jpg, , 
273.jpg, , 
381.jpg, , 
266.jpg, , 
59.jpg, archivePPMPGM/archive500ppm/59.ppm, archivePPMPGM/archive500ppm/59.ppm
365.jpg, , 
124.jpg, , 
372.jpg, , 
58.jpg, archivePPMPGM/archive500ppm/58.ppm, archivePPMPGM/archive500ppm/58.ppm
92.jpg, archivePPMPGM/archive500ppm/92.ppm, archivePPMPGM/archive500ppm/92.ppm
276.jpg, , 
467.jpg, , 
216.jpg, , 
167.jpg, , 
223.jpg, , 
277.jpg, , 
12.jpg, archivePPMPGM/archive500ppm/12.ppm, archivePPMPGM/archive500ppm/12.ppm
25.jpg, archivePPMPGM/archive500ppm/25.ppm, archivePPMPGM/archive500ppm/25.ppm
109.jpg, , 
275.jpg, , 
13.jpg, archivePPMPGM/archive500ppm/13.ppm, archivePPMPGM/archive500ppm/13.ppm
456.jpg, , 
436.jpg, , 
368.jpg, , 
293.jpg, , 
157.jpg, , 
60.jpg, archivePPMPGM/archive500ppm/60.ppm, archivePPMPGM/archive500ppm/60.ppm
181.jpg, , 
95.jpg, archivePPMPGM/archive500ppm/95.ppm, archivePPMPGM/archive500ppm/95.ppm
171.jpg, , 
265.jpg, , 
179.jpg, , 
153.jpg, , 
432.jpg, , 
435.jpg, , 
377.jpg, , 
74.jpg, archivePPMPGM/archive500ppm/74.ppm, archivePPMPGM/archive500ppm/74.ppm
165.jpg, , 
139.jpg, , 
408.jpg, , 
404.jpg, , 
359.jpg, , 
137.jpg, , 
200.jpg, , 
460.jpg, , 
322.jpg, , 
10.jpg, archivePPMPGM/archive500ppm/10.ppm, archivePPMPGM/archive500ppm/10.ppm
175.jpg, , 
302.jpg, , 
142.jpg, , 
57.jpg, archivePPMPGM/archive500ppm/57.ppm, archivePPMPGM/archive500ppm/57.ppm
229.jpg, , 
281.jpg, , 
244.jpg, , 
414.jpg, , 
421.jpg, , 
130.jpg, , 
459.jpg, , 
202.jpg, , 
94.jpg, archivePPMPGM/archive500ppm/94.ppm, archivePPMPGM/archive500ppm/94.ppm
263.jpg, , 
141.jpg, , 
291.jpg, , 
187.jpg, , 
198.jpg, , 
177.jpg, , 
479.jpg, , 
45.jpg, archivePPMPGM/archive500ppm/45.ppm, archivePPMPGM/archive500ppm/45.ppm
340.jpg, , 
306.jpg, , 
331.jpg, , 
107.jpg, , 
270.jpg, , 
178.jpg, , 
474.jpg, , 
445.jpg, , 
375.jpg, , 
233.jpg, , 
342.jpg, , 
441.jpg, , 
24.jpg, archivePPMPGM/archive500ppm/24.ppm, archivePPMPGM/archive500ppm/24.ppm
144.jpg, , 
26.jpg, archivePPMPGM/archive500ppm/26.ppm, archivePPMPGM/archive500ppm/26.ppm
132.jpg, , 
238.jpg, , 
284.jpg, , 
34.jpg, archivePPMPGM/archive500ppm/34.ppm, archivePPMPGM/archive500ppm/34.ppm
343.jpg, , 
247.jpg, , 
180.jpg, , 
158.jpg, , 
156.jpg, , 
292.jpg, , 
262.jpg, , 
220.jpg, , 
391.jpg, , 
131.jpg, , 
329.jpg, , 
440.jpg, , 
405.jpg, , 
5.jpg, archivePPMPGM/archive500ppm/5.ppm, archivePPMPGM/archive500ppm/5.ppm
30.jpg, archivePPMPGM/archive500ppm/30.ppm, archivePPMPGM/archive500ppm/30.ppm
97.jpg, archivePPMPGM/archive500ppm/97.ppm, archivePPMPGM/archive500ppm/97.ppm
103.jpg, , 
101.jpg, , 
327.jpg, , 
19.jpg, archivePPMPGM/archive500ppm/19.ppm, archivePPMPGM/archive500ppm/19.ppm
452.jpg, , 
73.jpg, archivePPMPGM/archive500ppm/73.ppm, archivePPMPGM/archive500ppm/73.ppm
451.jpg, , 
182.jpg, , 
20.jpg, archivePPMPGM/archive500ppm/20.ppm, archivePPMPGM/archive500ppm/20.ppm
364.jpg, , 
258.jpg, , 
320.jpg, , 
115.jpg, , 
246.jpg, , 
185.jpg, , 
42.jpg, archivePPMPGM/archive500ppm/42.ppm, archivePPMPGM/archive500ppm/42.ppm
172.jpg, , 
155.jpg, , 
154.jpg, , 
472.jpg, , 
251.jpg, , 
66.jpg, archivePPMPGM/archive500ppm/66.ppm, archivePPMPGM/archive500ppm/66.ppm
207.jpg, , 
494.jpg, , 
271.jpg, , 
147.jpg, , 
346.jpg, , 
159.jpg, , 
480.jpg, , 
209.jpg, , 
468.jpg, , 
211.jpg, , 
297.jpg, , 
164.jpg, , 
69.jpg, archivePPMPGM/archive500ppm/69.ppm, archivePPMPGM/archive500ppm/69.ppm
493.jpg, , 
239.jpg, , 
383.jpg, , 
316.jpg, , 
221.jpg, , 
457.jpg, , 
330.jpg, , 
356.jpg, , 
454.jpg, , 
353.jpg, , 
22.jpg, archivePPMPGM/archive500ppm/22.ppm, archivePPMPGM/archive500ppm/22.ppm
389.jpg, , 
205.jpg, , 
36.jpg, archivePPMPGM/archive500ppm/36.ppm, archivePPMPGM/archive500ppm/36.ppm
334.jpg, , 
380.jpg, , 
199.jpg, , 
483.jpg, , 
455.jpg, , 
416.jpg, , 
473.jpg, , 
43.jpg, archivePPMPGM/archive500ppm/43.ppm, archivePPMPGM/archive500ppm/43.ppm
250.jpg, , 
240.jpg, , 
418.jpg, , 
442.jpg, , 
4.jpg, archivePPMPGM/archive500ppm/4.ppm, archivePPMPGM/archive500ppm/4.ppm
91.jpg, archivePPMPGM/archive500ppm/91.ppm, archivePPMPGM/archive500ppm/91.ppm
333.jpg, , 
485.jpg, , 
219.jpg, , 
499.jpg, , 
337.jpg, , 
492.jpg, , 
241.jpg, , 
260.jpg, , 
429.jpg, , 
186.jpg, , 
163.jpg, , 
393.jpg, , 
280.jpg, , 
169.jpg, , 
226.jpg, , 
23.jpg, archivePPMPGM/archive500ppm/23.ppm, archivePPMPGM/archive500ppm/23.ppm
222.jpg, , 
148.jpg, , 
374.jpg, , 
8.jpg, archivePPMPGM/archive500ppm/8.ppm, archivePPMPGM/archive500ppm/8.ppm
378.jpg, , 
208.jpg, , 
371.jpg, , 
360.jpg, , 
376.jpg, , 
323.jpg, , 
385.jpg, , 
90.jpg, archivePPMPGM/archive500ppm/90.ppm, archivePPMPGM/archive500ppm/90.ppm
128.jpg, , 
218.jpg, , 
314.jpg, , 
361.jpg, , 
230.jpg, , 
237.jpg, , 
369.jpg, , 
496.jpg, , 
113.jpg, , 
204.jpg, , 
410.jpg, , 
315.jpg, , 
328.jpg, , 
44.jpg, archivePPMPGM/archive500ppm/44.ppm, archivePPMPGM/archive500ppm/44.ppm
296.jpg, , 
256.jpg, , 
335.jpg, , 
324.jpg, , 
117.jpg, , 
161.jpg, , 
453.jpg, , 
140.jpg, , 
434.jpg, , 
283.jpg, , 
401.jpg, , 
81.jpg, archivePPMPGM/archive500ppm/81.ppm, archivePPMPGM/archive500ppm/81.ppm
21.jpg, archivePPMPGM/archive500ppm/21.ppm, archivePPMPGM/archive500ppm/21.ppm
422.jpg, , 
173.jpg, , 
228.jpg, , 
